structureName,dimension,k,n,time
dumbKNN,1,2,100,260
dumbKNN,1,4,100,515
dumbKNN,1,8,100,806
dumbKNN,1,10,100,1121
dumbKNN,1,16,100,1516
dumbKNN,1,2,1000,1472
dumbKNN,1,4,1000,3060
dumbKNN,1,8,1000,4845
dumbKNN,1,10,1000,6400
dumbKNN,1,16,1000,8238
dumbKNN,1,2,10000,11122
dumbKNN,1,4,10000,22237
dumbKNN,1,8,10000,33433
dumbKNN,1,10,10000,44612
dumbKNN,1,16,10000,56988
dumbKNN,1,2,100000,99287
dumbKNN,1,4,100000,198823
dumbKNN,1,8,100000,298842
dumbKNN,1,10,100000,398807
dumbKNN,1,16,100000,505359
dumbKNN,2,2,100,321
dumbKNN,2,4,100,636
dumbKNN,2,8,100,1017
dumbKNN,2,10,100,1419
dumbKNN,2,16,100,1896
dumbKNN,2,2,1000,1987
dumbKNN,2,4,1000,4008
dumbKNN,2,8,1000,6146
dumbKNN,2,10,1000,8388
dumbKNN,2,16,1000,10913
dumbKNN,2,2,10000,15965
dumbKNN,2,4,10000,32110
dumbKNN,2,8,10000,48281
dumbKNN,2,10,10000,64696
dumbKNN,2,16,10000,82345
dumbKNN,2,2,100000,149572
dumbKNN,2,4,100000,299447
dumbKNN,2,8,100000,451756
dumbKNN,2,10,100000,602484
dumbKNN,2,16,100000,757281
dumbKNN,3,2,100,374
dumbKNN,3,4,100,759
dumbKNN,3,8,100,1223
dumbKNN,3,10,100,1684
dumbKNN,3,16,100,2218
dumbKNN,3,2,1000,2353
dumbKNN,3,4,1000,4698
dumbKNN,3,8,1000,7121
dumbKNN,3,10,1000,9815
dumbKNN,3,16,1000,12621
dumbKNN,3,2,10000,20088
dumbKNN,3,4,10000,40270
dumbKNN,3,8,10000,60562
dumbKNN,3,10,10000,80881
dumbKNN,3,16,10000,102357
dumbKNN,3,2,100000,190815
dumbKNN,3,4,100000,381971
dumbKNN,3,8,100000,573343
dumbKNN,3,10,100000,764667
dumbKNN,3,16,100000,962964
dumbKNN,4,2,100,443
dumbKNN,4,4,100,890
dumbKNN,4,8,100,1426
dumbKNN,4,10,100,1978
dumbKNN,4,16,100,2647
dumbKNN,4,2,1000,3018
dumbKNN,4,4,1000,6064
dumbKNN,4,8,1000,9258
dumbKNN,4,10,1000,12585
dumbKNN,4,16,1000,16209
dumbKNN,4,2,10000,26021
dumbKNN,4,4,10000,52141
dumbKNN,4,8,10000,78314
dumbKNN,4,10,10000,104640
dumbKNN,4,16,10000,132488
dumbKNN,4,2,100000,249724
dumbKNN,4,4,100000,498889
dumbKNN,4,8,100000,748440
dumbKNN,4,10,100000,1001093
dumbKNN,4,16,100000,1259374
dumbKNN,5,2,100,483
dumbKNN,5,4,100,1008
dumbKNN,5,8,100,1683
dumbKNN,5,10,100,2356
dumbKNN,5,16,100,3148
dumbKNN,5,2,1000,3502
dumbKNN,5,4,1000,7027
dumbKNN,5,8,1000,10642
dumbKNN,5,10,1000,14550
dumbKNN,5,16,1000,18698
dumbKNN,5,2,10000,31837
dumbKNN,5,4,10000,63654
dumbKNN,5,8,10000,95632
dumbKNN,5,10,10000,127599
dumbKNN,5,16,10000,161368
dumbKNN,5,2,100000,333564
dumbKNN,5,4,100000,664654
dumbKNN,5,8,100000,998659
dumbKNN,5,10,100000,1331958
dumbKNN,5,16,100000,1670128
dumbKNN,6,2,100,528
dumbKNN,6,4,100,1076
dumbKNN,6,8,100,1692
dumbKNN,6,10,100,2339
dumbKNN,6,16,100,3101
dumbKNN,6,2,1000,3764
dumbKNN,6,4,1000,7517
dumbKNN,6,8,1000,11425
dumbKNN,6,10,1000,15219
dumbKNN,6,16,1000,19631
dumbKNN,6,2,10000,33227
dumbKNN,6,4,10000,66469
dumbKNN,6,8,10000,99833
dumbKNN,6,10,10000,133351
dumbKNN,6,16,10000,168789
dumbKNN,6,2,100000,330903
dumbKNN,6,4,100000,663761
dumbKNN,6,8,100000,997279
dumbKNN,6,10,100000,1327075
dumbKNN,6,16,100000,1666388
dumbKNN,7,2,100,557
dumbKNN,7,4,100,1136
dumbKNN,7,8,100,1823
dumbKNN,7,10,100,2596
dumbKNN,7,16,100,3411
dumbKNN,7,2,1000,3904
dumbKNN,7,4,1000,7801
dumbKNN,7,8,1000,11956
dumbKNN,7,10,1000,16183
dumbKNN,7,16,1000,20882
dumbKNN,7,2,10000,34439
dumbKNN,7,4,10000,68940
dumbKNN,7,8,10000,103447
dumbKNN,7,10,10000,138187
dumbKNN,7,16,10000,174967
dumbKNN,7,2,100000,330907
dumbKNN,7,4,100000,662997
dumbKNN,7,8,100000,994948
dumbKNN,7,10,100000,1326452
dumbKNN,7,16,100000,1668388
bucketKNN,1,2,100,2420
bucketKNN,1,4,100,5042
bucketKNN,1,8,100,7351
bucketKNN,1,10,100,9760
bucketKNN,1,16,100,12047
bucketKNN,1,2,1000,8694
bucketKNN,1,4,1000,17311
bucketKNN,1,8,1000,25859
bucketKNN,1,10,1000,34341
bucketKNN,1,16,1000,43138
bucketKNN,1,2,10000,10541
bucketKNN,1,4,10000,20632
bucketKNN,1,8,10000,30814
bucketKNN,1,10,10000,40947
bucketKNN,1,16,10000,51084
bucketKNN,1,2,100000,11570
bucketKNN,1,4,100000,23485
bucketKNN,1,8,100000,35274
bucketKNN,1,10,100000,47092
bucketKNN,1,16,100000,58868
bucketKNN,2,2,100,3226
bucketKNN,2,4,100,6568
bucketKNN,2,8,100,9824
bucketKNN,2,10,100,13119
bucketKNN,2,16,100,16453
