structureName,dimension,k,n,time
dumbKNN,1,2,100,636
dumbKNN,1,4,100,1267
dumbKNN,1,8,100,1929
dumbKNN,1,10,100,2643
dumbKNN,1,16,100,3629
dumbKNN,1,2,1000,4211
dumbKNN,1,4,1000,8209
dumbKNN,1,8,1000,11690
dumbKNN,1,10,1000,15015
dumbKNN,1,16,1000,18909
dumbKNN,1,2,10000,18215
dumbKNN,1,4,10000,33218
dumbKNN,1,8,10000,46896
dumbKNN,1,10,10000,59487
dumbKNN,1,16,10000,72493
dumbKNN,1,2,100000,98482
dumbKNN,1,4,100000,196985
dumbKNN,1,8,100000,295989
dumbKNN,1,10,100000,397979
dumbKNN,1,16,100000,504029
dumbKNN,2,2,100,328
dumbKNN,2,4,100,674
dumbKNN,2,8,100,1056
dumbKNN,2,10,100,1486
dumbKNN,2,16,100,2016
dumbKNN,2,2,1000,1943
dumbKNN,2,4,1000,3964
dumbKNN,2,8,1000,6060
dumbKNN,2,10,1000,8231
dumbKNN,2,16,1000,10713
dumbKNN,2,2,10000,16182
dumbKNN,2,4,10000,32359
dumbKNN,2,8,10000,48768
dumbKNN,2,10,10000,65554
dumbKNN,2,16,10000,82941
dumbKNN,2,2,100000,149097
dumbKNN,2,4,100000,299074
dumbKNN,2,8,100000,448934
dumbKNN,2,10,100000,598927
dumbKNN,2,16,100000,753581
dumbKNN,3,2,100,363
dumbKNN,3,4,100,728
dumbKNN,3,8,100,1167
dumbKNN,3,10,100,1634
dumbKNN,3,16,100,2170
dumbKNN,3,2,1000,2364
dumbKNN,3,4,1000,4787
dumbKNN,3,8,1000,7278
dumbKNN,3,10,1000,9784
dumbKNN,3,16,1000,12704
dumbKNN,3,2,10000,20066
dumbKNN,3,4,10000,40129
dumbKNN,3,8,10000,60308
dumbKNN,3,10,10000,80461
dumbKNN,3,16,10000,102034
dumbKNN,3,2,100000,191817
dumbKNN,3,4,100000,383780
dumbKNN,3,8,100000,580490
dumbKNN,3,10,100000,787548
dumbKNN,3,16,100000,987367
dumbKNN,4,2,100,441
dumbKNN,4,4,100,948
dumbKNN,4,8,100,1486
dumbKNN,4,10,100,2115
dumbKNN,4,16,100,2830
dumbKNN,4,2,1000,3014
dumbKNN,4,4,1000,6078
dumbKNN,4,8,1000,9385
dumbKNN,4,10,1000,12674
dumbKNN,4,16,1000,16332
dumbKNN,4,2,10000,26240
